Provinsi,Kabupaten/Kota,Kecamatan,Name with Street,Original Name,Street Detail,Full Address Info,Latitude,Longitude
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI KK KARANG TENGAH - Jl. Karang Tengah Raya No.21 6, RT.6/RW.3",ATM BNI KK KARANG TENGAH,"Jl. Karang Tengah Raya No.21 6, RT.6/RW.3","5,0 (2) ATM ATM · Jl. Karang Tengah Raya No.21 6, RT.6/RW.3 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.3154979,106.7824653
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI - Jalan Karang Tengah, RT.1/RW.3, Lebak Bulus, Cilandak, RT.13/RW.3",BNI,"Jalan Karang Tengah, RT.1/RW.3, Lebak Bulus, Cilandak, RT.13/RW.3","5,0 (1) ATM ATM · Jalan Karang Tengah, RT.1/RW.3, Lebak Bulus, Cilandak, RT.13/RW.3 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.3090742,106.7809041
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. Karang Tengah Raya No.4 4, RT.4/RW.3",ATM BNI,"Jl. Karang Tengah Raya No.4 4, RT.4/RW.3","1,0 (1) ATM ATM · Alfa Midi, Jl. Karang Tengah Raya No.4 4, RT.4/RW.3",-6.3109504,106.7812898
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI - Jl. Lebak Bulus Raya No.Z-24, RT.4/RW.5",BNI,"Jl. Lebak Bulus Raya No.Z-24, RT.4/RW.5","2,0 (1) ATM ATM · Jl. Lebak Bulus Raya No.Z-24, RT.4/RW.5 Buka ⋅ Tutup pukul 23.00 · (021) 500046",-6.2999412,106.7777803
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI KLN PANGLIMA POLIM-NON TUNAI - Jl. Fatmawati No.47, RT.6/RW.1",ATM BNI KLN PANGLIMA POLIM-NON TUNAI,"Jl. Fatmawati No.47, RT.6/RW.1","5,0 (2) Bank Bank · Jl. Fatmawati No.47, RT.6/RW.1 (021) 57899999 (021) 57899999",-6.314773,106.793451
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM Bank BNI - Jl. Pangkalan Jati, RT.2/RW.5",ATM Bank BNI,"Jl. Pangkalan Jati, RT.2/RW.5","1,0 (2) ATM ATM · MQPW+QJJ, Jl. Pangkalan Jati, RT.2/RW.5",-6.3130457,106.796515
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI INDOMARET LEBAK BULUS - Jalan Batan I, Pasar Jumat, RT.5/RW.4",ATM BNI INDOMARET LEBAK BULUS,"Jalan Batan I, Pasar Jumat, RT.5/RW.4","5,0 (1) Bank Bank · Jalan Batan I, Pasar Jumat, RT.5/RW.4 (021) 57899999 (021) 57899999",-6.303112,106.779493
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI KLN UPN VETERAN PONDOK LABU - Jl. RS. Fatmawati Raya Jl. Komsai No.Kel, RT.6/RW.10",ATM BNI KLN UPN VETERAN PONDOK LABU,"Jl. RS. Fatmawati Raya Jl. Komsai No.Kel, RT.6/RW.10","5,0 (1) Bank Bank · Jl. RS. Fatmawati Raya Jl. Komsai No.Kel, RT.6/RW.10 (021) 57899999 (021) 57899999",-6.3083964,106.7935765
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI CILANDAK TOWN SQUARE 3 - Jalan Tb. Simatupang Kav 17, RT.2/RW.1",ATM BNI CILANDAK TOWN SQUARE 3,"Jalan Tb. Simatupang Kav 17, RT.2/RW.1","Tidak ada ulasan ATM ATM · Jalan Tb. Simatupang Kav 17, RT.2/RW.1 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2917954,106.7992851
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. RS. Fatmawati Raya No.15, RT.2/RW.1",ATM BNI,"Jl. RS. Fatmawati Raya No.15, RT.2/RW.1","Tidak ada ulasan ATM ATM · Jl. RS. Fatmawati Raya No.15, RT.2/RW.1 (021) 500046 (021) 500046",-6.3094864,106.7939252
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI SPBU FATMAWATI - Jl. T.B. Simatupang, Cilandak, RT.1/RW.4",ATM BNI SPBU FATMAWATI,"Jl. T.B. Simatupang, Cilandak, RT.1/RW.4","5,0 (1) ATM ATM · Jl. T.B. Simatupang, Cilandak, RT.1/RW.4 (021) 1500046 (021) 1500046",-6.2949381,106.7946758
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. TB Simatupang, RT.1/RW.4",ATM BNI,"Jl. TB Simatupang, RT.1/RW.4","Tidak ada ulasan ATM ATM · Jl. TB Simatupang, RT.1/RW.4 Buka ⋅ Tutup pukul 21.00 · (021) 57899999",-6.2928132,106.793155
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI RS. SILOAM TB SIMATUPANG - Jl. Tol Tahi Bonar Simatupang, RT.10/RW.4",ATM BNI RS. SILOAM TB SIMATUPANG,"Jl. Tol Tahi Bonar Simatupang, RT.10/RW.4","5,0 (1) Bank Bank · Jl. Tol Tahi Bonar Simatupang, RT.10/RW.4 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2922126,106.7843731
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI CILANDAK TOWN SQUARE 2 - Jl. TB Simatupang No.Kel 2, RT.2/RW.1",ATM BNI CILANDAK TOWN SQUARE 2,"Jl. TB Simatupang No.Kel 2, RT.2/RW.1","4,7 (3) Bank Bank · Jl. TB Simatupang No.Kel 2, RT.2/RW.1 (021) 57899999 (021) 57899999",-6.2918178,106.8006952
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. Batan Jl. Grafika No.1 3, RT.1/RW.2",ATM BNI,"Jl. Batan Jl. Grafika No.1 3, RT.1/RW.2","4,0 (1) ATM ATM · Indomaret, Jl. Batan Jl. Grafika No.1 3, RT.1/RW.2 Buka 24 jam Buka 24 jam Buka 24 jam",-6.2920564,106.771715
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI MALL CINERE - Jalan Raya Cinere No 1, Pangkalan Jati",ATM BNI MALL CINERE,"Jalan Raya Cinere No 1, Pangkalan Jati","5,0 (1) ATM ATM · Jalan Raya Cinere No 1, Pangkalan Jati (021) 57899999 (021) 57899999",-6.3153501,106.7956468
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI PT. IQ PASAR JUMAT - Jl. Batan, RT.5/RW.4",ATM BNI PT. IQ PASAR JUMAT,"Jl. Batan, RT.5/RW.4","5,0 (1) Bank Bank · Jl. Batan, RT.5/RW.4 (021) 57899999 (021) 57899999",-6.303112,106.779493
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI - Jl. Karang Tengah Raya No.B12, RT.6/RW.6",BNI,"Jl. Karang Tengah Raya No.B12, RT.6/RW.6","Tidak ada ulasan ATM ATM · Jl. Karang Tengah Raya No.B12, RT.6/RW.6 (021) 500046 (021) 500046",-6.303152,106.7812142
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI INDOMARET BONA INDAH - Jl. Lb. Bulus No.1, RT.5/RW.4",ATM BNI INDOMARET BONA INDAH,"Jl. Lb. Bulus No.1, RT.5/RW.4","Tidak ada ulasan Bank Bank · Jl. Lb. Bulus No.1, RT.5/RW.4 (021) 57899999 (021) 57899999",-6.303112,106.779493
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI MARKAS CILANDAK KKO 1 - Jl. Raya Cilandak KKO No.Kel, RT.12/RW.5",ATM BNI MARKAS CILANDAK KKO 1,"Jl. Raya Cilandak KKO No.Kel, RT.12/RW.5","3,0 (2) Bank Bank · Jl. Raya Cilandak KKO No.Kel, RT.12/RW.5 (021) 57899999 (021) 57899999",-6.3037035,106.8111922
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI RS FATMAWATI - Jalan Rs. Fatmawati, RT.4/RW.9",ATM BNI RS FATMAWATI,"Jalan Rs. Fatmawati, RT.4/RW.9","Tidak ada ulasan ATM ATM · Jalan Rs. Fatmawati, RT.4/RW.9 (021) 57899999 (021) 57899999",-6.2945271,106.7954088
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI - Jalan RS. Fatmawati,ATM BNI,Jalan RS. Fatmawati,"Tidak ada ulasan ATM ATM · MQMV+Q9F, Universitas Pembangunan Nasional Jakarta, Jalan RS. Fatmawati Buka ⋅ Tutup pukul 20.00",-6.3155542,106.7934271
