Provinsi,Kabupaten/Kota,Kecamatan,Name with Street,Original Name,Street Detail,Full Address Info,Latitude,Longitude
ACEH,KAB. ACEH SELATAN,Tapaktuan,"ATM Bank Syariah Indonesia - ATM ·754J+758, Jl. Merdeka",ATM Bank Syariah Indonesia,"ATM ·754J+758, Jl. Merdeka","ATM ·754J+758, Jl. Merdeka",3.2556547,97.1804592
ACEH,KAB. ACEH SELATAN,Tapaktuan,"KPPN Tapaktuan - Kantor Pemerintah · ·756R+447, Jalan T. Cut Ali",KPPN Tapaktuan,"Kantor Pemerintah · ·756R+447, Jalan T. Cut Ali","Kantor Pemerintah · ·756R+447, Jalan T. Cut Ali | Tutup⋅ Buka Sen pukul 08.00 ·(0656) 21127",3.2602934,97.1902821
ACEH,KAB. ACEH SELATAN,Tapaktuan,Kantor BNN Kab Aceh Selatan - Kantor Pemerintah · ·Jl. Tgk. Chik Ditiro No.83,Kantor BNN Kab Aceh Selatan,Kantor Pemerintah · ·Jl. Tgk. Chik Ditiro No.83,Kantor Pemerintah · ·Jl. Tgk. Chik Ditiro No.83 | Tutup⋅ Buka Sen pukul 08.00 ·(0656) 322806,3.2584216,97.1781543
ACEH,KAB. ACEH SELATAN,Tapaktuan,"BTPN KCP Tapaktuan - Bank ·Jl. T. Ben Mahmud No. 18, Kel. Hilir, Kec. Tapaktuan",BTPN KCP Tapaktuan,"Bank ·Jl. T. Ben Mahmud No. 18, Kel. Hilir, Kec. Tapaktuan","Bank ·Jl. T. Ben Mahmud No. 18, Kel. Hilir, Kec. Tapaktuan | (0656) 323677",3.2591053,97.1749853
ACEH,KAB. ACEH SELATAN,Tapaktuan,"PT. Bank Aceh Syariah Cabang Tapaktuan - ATM ·Jalan Tapaktuan - Subulussalam No.8, Hilir, Tapak Tuan",PT. Bank Aceh Syariah Cabang Tapaktuan,"ATM ·Jalan Tapaktuan - Subulussalam No.8, Hilir, Tapak Tuan","ATM ·Jalan Tapaktuan - Subulussalam No.8, Hilir, Tapak Tuan | Tutup⋅ Buka Sen pukul 08.00 ·(0656) 21095",3.2538736,97.1777109
ACEH,KAB. ACEH SELATAN,Tapaktuan,ATM Bank Syariah Mandiri - ATM ·Jl. Merdeka No.92 B,ATM Bank Syariah Mandiri,ATM ·Jl. Merdeka No.92 B,ATM ·Jl. Merdeka No.92 B | Buka 24 jam ·(021) 52997755,3.2563568,97.1810206
ACEH,KAB. ACEH SELATAN,Tapaktuan,"ATM MANDIRI - ATM ·754J+22X, Jl. Merdeka",ATM MANDIRI,"ATM ·754J+22X, Jl. Merdeka","ATM ·754J+22X, Jl. Merdeka | Buka 24 jam",3.255108,97.1801204
ACEH,KAB. ACEH SELATAN,Tapaktuan,"Kantor Pelayanan Pajak Pratama Tapak Tuan - Kantor Pelayanan Pajak ·JL T. Ben Mahmud, No. 26, Tapaktuan, 23718",Kantor Pelayanan Pajak Pratama Tapak Tuan,"Kantor Pelayanan Pajak ·JL T. Ben Mahmud, No. 26, Tapaktuan, 23718","Kantor Pelayanan Pajak ·JL T. Ben Mahmud, No. 26, Tapaktuan, 23718 | Tutup⋅ Buka Sen pukul 08.00 ·(0656) 323598",3.2592087,97.1701588
ACEH,KAB. ACEH SELATAN,Trumon,Kec. Trumon - Kabupaten Aceh Selatan,Kec. Trumon,Kabupaten Aceh Selatan,"Kabupaten Aceh Selatan | Aceh | di kecamatan Trumon ·ACEH SELATAN, ACEH",2.8280809,97.6242237
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,ATM BSI Labuhanhaji Barat - Buka 24 jam,ATM BSI Labuhanhaji Barat,Buka 24 jam,ATM ·HXGG+857 | Buka 24 jam,3.5757787,96.9754269
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,ATM BSI Labuhan Haji - Buka 24 jam,ATM BSI Labuhan Haji,Buka 24 jam,ATM · ·HX4V+8XQ | Buka 24 jam,3.5558461,96.9949713
ACEH,KAB. ACEH SELATAN,Trumon Timur,ATM BNI - ATM · ·2JVC+893,ATM BNI,ATM · ·2JVC+893,ATM · ·2JVC+893,5.0432623,97.6209099
ACEH,KAB. ACEH SELATAN,Trumon Timur,Titi poben - Sekolah ·VP8W+GR9,Titi poben,Sekolah ·VP8W+GR9,Sekolah ·VP8W+GR9,2.8662766,97.7471025
ACEH,KAB. ACEH TENGGARA,Darul Hasanah,ATM BRI UNIT KOTA KUTACANE - Buka 24 jam,ATM BRI UNIT KOTA KUTACANE,Buka 24 jam,"ATM · ·FRP7+72M, Kutacane | Buka 24 jam",3.4857029,97.8125396
ACEH,KAB. ACEH TENGGARA,Darul Hasanah,Bank Aceh Cabang Kutacane - ATM ·Jl. Iskandar Muda No.1,Bank Aceh Cabang Kutacane,ATM ·Jl. Iskandar Muda No.1,ATM ·Jl. Iskandar Muda No.1 | Tutup⋅ Buka Sen pukul 08.00,3.4897348,97.8105601
ACEH,KAB. ACEH TENGGARA,Deleng Pokhkisen,ATM BRI UNIT KOTA KUTACANE - Buka 24 jam,ATM BRI UNIT KOTA KUTACANE,Buka 24 jam,"ATM · ·FRP7+72M, Kutacane | Buka 24 jam",3.4857029,97.8125396
ACEH,KAB. ACEH TENGGARA,Deleng Pokhkisen,Bank Aceh Cabang Kutacane - ATM ·Jl. Iskandar Muda No.1,Bank Aceh Cabang Kutacane,ATM ·Jl. Iskandar Muda No.1,ATM ·Jl. Iskandar Muda No.1 | Tutup⋅ Buka Sen pukul 08.00,3.4897348,97.8105601
ACEH,KAB. ACEH TIMUR,Darul Aman,Atm Bni - Buka 24 jam,Atm Bni,Buka 24 jam,"ATM ·XQ57+26Q, Jl | Buka 24 jam",4.9575945,97.7630941
ACEH,KAB. ACEH TIMUR,Darul Aman,ATM BNI - ATM · ·2JVC+893,ATM BNI,ATM · ·2JVC+893,ATM · ·2JVC+893,5.0432623,97.6209099
ACEH,KAB. ACEH TIMUR,Birem Bayeun,ATM BNI RSUD Langsa - Buka 24 jam ·1 500 046,ATM BNI RSUD Langsa,Buka 24 jam ·1 500 046,ATM ·FX99+WVC | Buka 24 jam ·1 500 046,4.4698048,97.9696262
ACEH,KAB. ACEH TIMUR,Birem Bayeun,ATM BNI KANTOR PLN LANGSA - ATM ·Jalan Ahmad Yani,ATM BNI KANTOR PLN LANGSA,ATM ·Jalan Ahmad Yani,ATM ·Jalan Ahmad Yani | Buka 24 jam ·(021) 57899999,4.4710805,97.9682301
ACEH,KAB. ACEH TIMUR,Birem Bayeun,Bank Syariah Indonesia KC Langsa 2 - Bank · ·Jl. Jenderal Ahmad Yani No.50,Bank Syariah Indonesia KC Langsa 2,Bank · ·Jl. Jenderal Ahmad Yani No.50,Bank · ·Jl. Jenderal Ahmad Yani No.50 | Tutup⋅ Buka Sen pukul 08.00 ·(0641) 21318,4.468147,97.9733454
ACEH,KAB. ACEH TIMUR,Birem Bayeun,ATM BNI TUNAI GALERI KC LANGSA - Bank ·Jl. Jenderal Ahmad Yani,ATM BNI TUNAI GALERI KC LANGSA,Bank ·Jl. Jenderal Ahmad Yani,Bank ·Jl. Jenderal Ahmad Yani | (021) 57899999,4.468234,97.9732807
ACEH,KAB. ACEH TIMUR,Ranto Peureulak,"ATM BNI SPBU KEUMUNENG - ATM ·QVWR+3R6, Keumuning, Peureulak",ATM BNI SPBU KEUMUNENG,"ATM ·QVWR+3R6, Keumuning, Peureulak","ATM ·QVWR+3R6, Keumuning, Peureulak | Tutup sementara",4.7951707,97.8920054
ACEH,KAB. ACEH TIMUR,Ranto Peureulak,Atm Bni - Buka 24 jam,Atm Bni,Buka 24 jam,"ATM ·XQ57+26Q, Jl | Buka 24 jam",4.9575945,97.7630941
